client,vinyl,opinion,date
luca,kind of blue,happy,2024-06-11
luca,bitches brew,happy,2023-02-20
luca,a love supreme,neutral,2022-10-10
luca,thriller,neutral,2022-08-05
luca,abbey road,neutral,2023-09-01
luca,graceland,neutral,2024-05-13
luca,ok computer,disgusted,2022-12-19
luca,21,neutral,2022-07-03
luca,dark side of the moon,happy,2021-04-10
luca,the bends,disgusted,2023-11-25
emanuele,damn,happy,2023-03-14
emanuele,to pimp a butterfly,happy,2022-09-19
emanuele,illmatic,happy,2022-10-22
emanuele,good kid maad city,happy,2024-02-02
emanuele,the chronic,neutral,2021-08-06
emanuele,man on the moon,happy,2023-05-17
emanuele,wolves,happy,2024-06-01
emanuele,21,happy,2025-07-12
emanuele,emotion,neutral,2022-11-11
emanuele,kind of blue,disgusted,2022-10-10
ali,the four seasons,happy,2024-03-01
ali,symphony no 5,happy,2024-02-19
ali,kind of blue,neutral,2024-01-05
ali,a love supreme,neutral,2023-11-18
ali,graceland,neutral,2024-04-12
ali,dark side of the moon,neutral,2023-08-09
ali,thriller,disgusted,2023-06-27
ali,rumours,neutral,2023-12-10
ali,ok computer,disgusted,2023-09-13
ali,parachutes,disgusted,2023-10-22
matteo,symphony no 5,happy,2020-08-21
matteo,the four seasons,neutral,2020-07-30
matteo,a love supreme,neutral,2020-05-14
matteo,kind of blue,neutral,2020-06-18
matteo,graceland,disgusted,2020-04-10
matteo,abbey road,neutral,2020-03-11
matteo,parachutes,disgusted,2020-06-26
matteo,bitches brew,neutral,2020-08-20
matteo,rumours,neutral,2020-07-25
matteo,dark side of the moon,disgusted,2020-07-08
anna,dark side of the moon,happy,2025-07-11
anna,the wall,happy,2025-06-28
anna,wish you were here,happy,2025-05-20
anna,21,neutral,2025-04-30
anna,parachutes,neutral,2025-02-18
anna,ok computer,happy,2025-01-26
anna,the bends,neutral,2025-06-01
anna,melodrama,disgusted,2025-04-12
anna,thriller,neutral,2025-03-21
anna,emotion,disgusted,2025-02-13
marco,abbey road,happy,2025-06-11
marco,hotel california,happy,2025-05-10
marco,rumours,happy,2025-06-01
marco,born to run,happy,2025-04-12
marco,exile on main st.,neutral,2025-03-27
marco,let it bleed,happy,2025-03-30
marco,revolver,happy,2025-05-22
marco,the wall,neutral,2025-06-02
marco,grace,neutral,2025-04-18
marco,dark side of the moon,neutral,2025-06-05
giulia,thriller,happy,2021-12-10
giulia,bad,happy,2021-10-03
giulia,emotion,happy,2021-11-14
giulia,21,neutral,2022-01-02
giulia,melodrama,neutral,2022-01-19
giulia,parachutes,neutral,2022-01-10
giulia,ocean eyes,happy,2021-12-28
giulia,rumours,neutral,2021-09-20
giulia,dark side of the moon,disgusted,2021-11-01
giulia,graceland,disgusted,2021-10-20
federico,back in black,happy,2023-06-25
federico,disintegration,happy,2023-05-18
federico,ok computer,neutral,2023-04-04
federico,dark side of the moon,neutral,2023-03-13
federico,american idiot,happy,2023-07-12
federico,parachutes,neutral,2023-07-01
federico,the wall,neutral,2023-07-15
federico,born to run,neutral,2023-05-20
federico,kind of blue,disgusted,2023-06-08
federico,lemonade,disgusted,2023-04-21
valentina,the rise and fall of ziggy stardust,happy,2020-04-10
valentina,blackstar,happy,2020-03-28
valentina,melodrama,neutral,2020-03-16
valentina,thriller,disgusted,2020-03-02
valentina,21,neutral,2020-02-20
valentina,dark side of the moon,neutral,2020-01-18
valentina,wish you were here,neutral,2020-01-09
valentina,bad,disgusted,2020-02-28
valentina,rumours,neutral,2020-04-04
valentina,ocean eyes,disgusted,2020-03-05
riccardo,graceland,happy,2025-07-13
riccardo,dark side of the moon,neutral,2025-06-22
riccardo,kind of blue,neutral,2025-06-10
riccardo,the bends,disgusted,2025-07-01
riccardo,wish you were here,neutral,2025-07-10
riccardo,born to run,neutral,2025-07-05
riccardo,parachutes,neutral,2025-07-06
riccardo,the wall,neutral,2025-06-25
riccardo,ok computer,disgusted,2025-06-30
riccardo,thriller,neutral,2025-07-03
elisa,purple rain,happy,2021-02-14
elisa,21,happy,2021-01-09
elisa,bad,neutral,2021-02-27
elisa,emotion,neutral,2021-02-05
elisa,thriller,neutral,2021-03-20
elisa,dark side of the moon,disgusted,2021-01-22
elisa,wish you were here,disgusted,2021-02-17
elisa,parachutes,neutral,2021-01-15
elisa,ocean eyes,happy,2021-03-04
elisa,melodrama,neutral,2021-03-12
andrea,ten,happy,2024-06-09
andrea,nevermind,happy,2024-06-01
andrea,ok computer,neutral,2024-05-25
andrea,the bends,neutral,2024-05-14
andrea,parachutes,neutral,2024-06-05
andrea,grace,neutral,2024-06-07
andrea,the wall,disgusted,2024-05-20
andrea,born to run,disgusted,2024-06-03
andrea,thriller,neutral,2024-05-11
andrea,21,neutral,2024-04-28
francesca,ok computer,happy,2025-07-09
francesca,in rainbows,happy,2025-07-07
francesca,the bends,neutral,2025-07-05
francesca,parachutes,neutral,2025-06-20
francesca,californication,happy,2025-06-28
francesca,doolittle,neutral,2025-07-04
francesca,grace,neutral,2025-06-30
francesca,dark side of the moon,neutral,2025-06-25
francesca,thriller,neutral,2025-07-02
francesca,emotion,disgusted,2025-06-29
simone,the queen is dead,happy,2020-09-05
simone,be the cowboy,happy,2020-08-14
simone,the suburbs,neutral,2020-07-30
simone,parachutes,neutral,2020-08-21
simone,grace,neutral,2020-09-01
simone,dark side of the moon,disgusted,2020-07-22
simone,kind of blue,disgusted,2020-07-15
simone,thriller,neutral,2020-08-28
simone,21,neutral,2020-08-10
simone,hot fuss,happy,2020-08-05
